amount,payment_method,failure_category,attempt_number,previous_success_rate,previous_failures,customer_tenure_days,subscription,recovered
5422,credit_card,CUSTOMER_ACTION_REQUIRED,1,0.304,3,1400,1,0
8582,debit_card,CUSTOMER_ACTION_REQUIRED,2,0.361,24,1236,0,0
896,credit_card,HARD_DECLINE,1,0.743,3,114,0,0
6477,credit_card,HARD_DECLINE,2,0.926,2,1958,0,0
4186,wallet,HARD_DECLINE,1,0.192,17,1487,1,0
6813,net_banking,CUSTOMER_ACTION_REQUIRED,3,0.895,14,1319,0,0
5688,debit_card,TRANSIENT,1,0.599,22,294,1,0
1762,wallet,TRANSIENT,1,0.815,15,1432,0,1
209,debit_card,TRANSIENT,1,0.607,6,406,1,1
2812,credit_card,HARD_DECLINE,3,0.513,16,1479,0,0
2853,credit_card,CUSTOMER_ACTION_REQUIRED,1,0.534,9,110,0,0
4250,credit_card,SOFT_DECLINE,2,0.052,7,1716,1,1
5181,upi,HARD_DECLINE,3,0.884,8,1508,1,0
2615,wallet,SOFT_DECLINE,2,0.01,11,479,0,0
233,credit_card,SOFT_DECLINE,3,0.583,23,1557,0,0
1201,upi,SOFT_DECLINE,2,0.206,14,481,1,1
848,net_banking,HARD_DECLINE,2,0.434,4,1877,0,0
4659,net_banking,SOFT_DECLINE,1,0.57,23,399,0,1
307,credit_card,TRANSIENT,1,0.072,7,961,0,0
5110,debit_card,TRANSIENT,2,0.808,19,234,0,1
2539,upi,CUSTOMER_ACTION_REQUIRED,1,0.084,4,1952,0,1
2410,wallet,UNKNOWN,1,0.736,10,1776,0,1
1598,upi,SOFT_DECLINE,1,0.155,1,1143,0,0
3511,net_banking,TRANSIENT,1,0.297,16,1845,0,1
1733,credit_card,CUSTOMER_ACTION_REQUIRED,2,0.226,21,817,0,0
3623,debit_card,CUSTOMER_ACTION_REQUIRED,3,0.225,9,761,1,0
3641,net_banking,SOFT_DECLINE,1,0.429,10,1258,1,1
3378,upi,CUSTOMER_ACTION_REQUIRED,2,0.287,3,585,0,0
2760,net_banking,UNKNOWN,1,0.933,4,1622,0,1
2032,upi,SOFT_DECLINE,2,0.478,2,261,0,0
4583,credit_card,SOFT_DECLINE,1,0.319,13,1015,0,0
2947,debit_card,HARD_DECLINE,2,0.654,7,814,0,0
4068,debit_card,SOFT_DECLINE,1,0.422,18,1620,0,0
780,credit_card,HARD_DECLINE,1,0.994,0,772,0,0
160,credit_card,UNKNOWN,2,0.819,9,972,1,0
6942,net_banking,UNKNOWN,1,0.828,1,1559,1,0
9382,debit_card,HARD_DECLINE,1,0.701,21,1221,1,0
4066,credit_card,CUSTOMER_ACTION_REQUIRED,1,0.079,2,55,0,0
2832,credit_card,TRANSIENT,2,0.3,13,1509,1,0
1148,credit_card,HARD_DECLINE,1,0.881,1,1267,0,0
822,net_banking,TRANSIENT,1,0.83,18,1057,1,1
1620,credit_card,UNKNOWN,1,0.378,4,1551,1,0
2919,credit_card,TRANSIENT,2,0.817,14,1007,1,0
199,credit_card,CUSTOMER_ACTION_REQUIRED,2,0.647,6,582,1,1
5004,net_banking,HARD_DECLINE,1,0.065,19,52,0,0
3356,upi,HARD_DECLINE,1,0.269,18,1186,1,0
4789,credit_card,SOFT_DECLINE,3,0.752,12,1054,1,0
4187,wallet,HARD_DECLINE,2,0.097,13,1866,0,0
905,credit_card,CUSTOMER_ACTION_REQUIRED,1,0.852,9,360,1,0
1722,credit_card,CUSTOMER_ACTION_REQUIRED,2,0.884,25,1425,0,0
1017,wallet,TRANSIENT,2,0.93,10,946,0,1
2587,net_banking,SOFT_DECLINE,1,0.891,24,1428,0,1
5022,credit_card,HARD_DECLINE,1,0.805,4,1599,0,0
5874,upi,UNKNOWN,1,0.094,10,377,0,1
4330,debit_card,SOFT_DECLINE,2,0.258,15,554,0,0
3835,net_banking,UNKNOWN,3,0.488,11,1789,1,0
208,upi,HARD_DECLINE,2,0.314,2,1427,0,0
4088,wallet,CUSTOMER_ACTION_REQUIRED,1,0.977,1,1547,0,0
4915,credit_card,HARD_DECLINE,1,0.854,7,825,0,0
4491,debit_card,SOFT_DECLINE,1,0.818,3,205,1,1
687,debit_card,UNKNOWN,1,0.342,19,1025,1,0
4033,debit_card,TRANSIENT,1,0.949,4,1341,1,1
7200,upi,UNKNOWN,2,0.979,6,140,1,1
4736,debit_card,HARD_DECLINE,1,0.176,4,171,1,1
1480,debit_card,CUSTOMER_ACTION_REQUIRED,2,0.184,1,219,0,0
3838,credit_card,UNKNOWN,1,0.942,15,1003,0,0
5771,debit_card,UNKNOWN,2,0.561,19,436,1,0
1303,debit_card,HARD_DECLINE,3,0.939,23,1720,0,0
6000,debit_card,TRANSIENT,1,0.97,13,568,0,1
6995,net_banking,SOFT_DECLINE,1,0.449,18,229,1,0
3517,upi,TRANSIENT,1,0.21,6,1421,0,1
348,credit_card,CUSTOMER_ACTION_REQUIRED,2,0.502,3,1462,0,0
4242,debit_card,SOFT_DECLINE,3,0.336,5,969,0,0
677,debit_card,HARD_DECLINE,1,0.845,22,1423,0,0
8104,net_banking,HARD_DECLINE,2,0.104,20,63,0,0
3412,upi,SOFT_DECLINE,3,0.1,14,1060,0,1
3466,debit_card,SOFT_DECLINE,1,0.196,15,1976,1,0
5713,debit_card,CUSTOMER_ACTION_REQUIRED,2,0.704,23,840,1,0
4425,credit_card,TRANSIENT,2,0.795,13,1408,1,0
1655,credit_card,SOFT_DECLINE,1,0.374,16,1709,0,1
118,upi,TRANSIENT,1,0.616,12,1726,1,0
4355,net_banking,SOFT_DECLINE,1,0.728,12,1881,1,1
3879,upi,TRANSIENT,1,0.392,24,1314,0,0
3894,debit_card,TRANSIENT,1,0.026,0,1317,0,1
6207,debit_card,HARD_DECLINE,1,0.734,14,1329,0,0
2438,net_banking,TRANSIENT,1,0.535,7,1517,0,0
2086,upi,HARD_DECLINE,2,0.638,18,1805,1,0
8773,credit_card,HARD_DECLINE,1,0.895,2,188,0,0
2474,debit_card,CUSTOMER_ACTION_REQUIRED,1,0.959,2,460,0,0
3029,net_banking,SOFT_DECLINE,2,0.18,0,1880,1,0
10872,credit_card,HARD_DECLINE,1,0.614,17,40,1,0
1799,credit_card,UNKNOWN,1,0.023,16,1588,1,0
2175,credit_card,TRANSIENT,2,0.94,8,590,0,0
4556,upi,SOFT_DECLINE,1,0.745,15,923,0,1
987,credit_card,TRANSIENT,1,0.393,18,1654,0,1
1820,wallet,HARD_DECLINE,1,0.883,13,1251,0,0
99,upi,HARD_DECLINE,1,0.633,2,950,1,1
4390,upi,SOFT_DECLINE,1,0.827,20,1976,0,1
1049,credit_card,TRANSIENT,1,0.073,21,791,0,0
6969,debit_card,TRANSIENT,1,0.329,14,1192,0,0
544,debit_card,HARD_DECLINE,1,0.278,19,1967,0,0
1173,net_banking,TRANSIENT,1,0.756,10,1695,1,1
5609,debit_card,CUSTOMER_ACTION_REQUIRED,1,0.171,10,1240,0,0
2840,upi,SOFT_DECLINE,2,0.988,14,612,1,0
765,debit_card,TRANSIENT,1,0.47,25,880,0,1
2609,debit_card,HARD_DECLINE,1,0.313,19,126,0,0
4245,net_banking,SOFT_DECLINE,1,0.618,0,488,1,1
2739,debit_card,TRANSIENT,2,0.436,5,210,1,0
8818,net_banking,SOFT_DECLINE,2,0.26,25,118,1,0
2617,debit_card,TRANSIENT,2,0.812,8,1460,1,1
5703,credit_card,SOFT_DECLINE,2,0.966,13,1334,0,1
189,upi,SOFT_DECLINE,2,0.976,10,1612,0,1
5773,credit_card,SOFT_DECLINE,2,0.659,23,1782,1,1
4589,credit_card,UNKNOWN,1,0.216,12,414,0,0
840,upi,CUSTOMER_ACTION_REQUIRED,3,0.709,20,345,0,0
2810,net_banking,TRANSIENT,1,0.452,19,1081,1,1
602,debit_card,TRANSIENT,1,0.102,14,1824,1,1
2663,debit_card,TRANSIENT,1,0.476,16,957,0,1
3593,debit_card,HARD_DECLINE,1,0.334,14,588,0,1
5443,net_banking,SOFT_DECLINE,1,0.189,5,1246,1,0
4799,credit_card,SOFT_DECLINE,1,0.115,1,1208,1,1
3583,credit_card,TRANSIENT,2,0.716,12,834,1,0
4205,credit_card,CUSTOMER_ACTION_REQUIRED,1,0.288,19,619,0,1
7219,upi,SOFT_DECLINE,1,0.305,22,518,1,0
3148,debit_card,TRANSIENT,2,0.428,0,393,0,0
4777,upi,TRANSIENT,1,0.352,15,1224,1,0
6751,credit_card,SOFT_DECLINE,1,0.228,16,372,0,0
3411,net_banking,TRANSIENT,1,0.491,11,1147,1,1
635,credit_card,SOFT_DECLINE,2,0.775,19,1021,1,0
6144,credit_card,HARD_DECLINE,3,0.856,21,320,0,1
1459,upi,HARD_DECLINE,1,0.921,12,1338,1,0
3716,debit_card,HARD_DECLINE,3,0.987,16,388,1,0
3934,debit_card,CUSTOMER_ACTION_REQUIRED,1,0.041,16,1467,1,0
6967,debit_card,SOFT_DECLINE,3,0.792,9,255,0,0
6825,debit_card,HARD_DECLINE,2,0.664,9,1027,1,0
8280,credit_card,TRANSIENT,1,0.593,1,1030,1,1
2979,credit_card,HARD_DECLINE,1,0.859,21,1993,0,1
5321,credit_card,TRANSIENT,3,0.197,18,1910,1,0
4345,debit_card,SOFT_DECLINE,1,0.967,3,1858,1,1
295,upi,SOFT_DECLINE,2,0.322,18,315,0,1
2666,upi,TRANSIENT,1,0.628,17,405,0,0
4003,credit_card,SOFT_DECLINE,1,0.313,21,1489,0,0
2356,wallet,SOFT_DECLINE,1,0.767,2,1577,1,0
4329,upi,HARD_DECLINE,1,0.621,18,1827,1,0
7534,debit_card,SOFT_DECLINE,2,0.46,1,203,1,0
3169,debit_card,HARD_DECLINE,1,0.291,15,1444,1,1
2944,upi,HARD_DECLINE,1,0.144,23,1044,1,0
2176,credit_card,HARD_DECLINE,2,0.719,0,1679,0,0
1990,credit_card,TRANSIENT,1,0.204,15,80,0,0
2229,credit_card,TRANSIENT,1,0.983,7,1753,0,1
2300,debit_card,HARD_DECLINE,1,0.022,4,1706,0,0
1925,upi,SOFT_DECLINE,1,0.48,9,1397,1,0
378,credit_card,SOFT_DECLINE,1,0.813,4,87,1,1
5948,upi,SOFT_DECLINE,1,0.65,21,1299,0,0
5046,credit_card,SOFT_DECLINE,1,0.158,16,1782,0,1
1135,debit_card,CUSTOMER_ACTION_REQUIRED,1,0.174,4,750,0,0
5793,net_banking,SOFT_DECLINE,2,0.923,2,1906,0,0
6377,upi,UNKNOWN,1,0.709,16,1618,0,0
103,upi,HARD_DECLINE,2,0.068,0,1774,0,0
1390,debit_card,HARD_DECLINE,2,0.324,7,1610,0,0
5426,net_banking,TRANSIENT,2,0.42,2,156,0,1
7689,credit_card,CUSTOMER_ACTION_REQUIRED,2,0.607,0,1921,1,1
928,credit_card,SOFT_DECLINE,1,0.491,21,615,1,0
577,debit_card,SOFT_DECLINE,2,0.086,0,1318,0,1
7311,credit_card,TRANSIENT,1,0.864,10,409,0,0
3141,debit_card,HARD_DECLINE,1,0.207,15,1055,0,0
5408,credit_card,HARD_DECLINE,1,0.071,2,290,0,0
4081,credit_card,TRANSIENT,2,0.331,7,1712,0,0
7609,upi,SOFT_DECLINE,3,0.075,18,524,0,0
5097,debit_card,SOFT_DECLINE,1,0.698,3,1223,0,0
1978,credit_card,SOFT_DECLINE,1,0.765,4,448,0,0
4653,upi,UNKNOWN,2,0.236,2,1679,0,0
9868,upi,HARD_DECLINE,3,0.598,19,1933,1,0
4551,credit_card,UNKNOWN,1,0.036,16,491,0,0
3512,net_banking,SOFT_DECLINE,1,0.774,25,431,0,0
2907,upi,HARD_DECLINE,1,0.052,24,802,0,0
1931,credit_card,SOFT_DECLINE,3,0.368,6,732,0,1
5026,upi,TRANSIENT,1,0.747,25,1654,0,1
3000,net_banking,CUSTOMER_ACTION_REQUIRED,1,0.439,9,119,1,0
3855,wallet,CUSTOMER_ACTION_REQUIRED,1,0.398,21,280,0,1
1728,credit_card,UNKNOWN,2,0.859,14,1490,1,0
1401,net_banking,HARD_DECLINE,1,0.893,10,1459,0,1
5747,debit_card,SOFT_DECLINE,1,0.912,16,502,1,0
2118,upi,TRANSIENT,2,0.036,7,1460,0,0
4024,credit_card,UNKNOWN,1,0.3,2,152,1,0
1300,net_banking,SOFT_DECLINE,1,0.044,6,806,1,0
766,debit_card,TRANSIENT,1,0.609,10,1919,0,1
2403,credit_card,HARD_DECLINE,1,0.726,19,918,0,0
4119,upi,UNKNOWN,3,0.932,9,1788,0,0
99,upi,SOFT_DECLINE,2,0.26,12,987,0,0
4882,credit_card,TRANSIENT,1,0.25,17,635,1,1
2843,debit_card,HARD_DECLINE,2,0.782,25,1610,0,0
2857,debit_card,HARD_DECLINE,1,0.44,14,105,0,0
4562,credit_card,CUSTOMER_ACTION_REQUIRED,1,0.939,8,1867,0,0
3201,credit_card,TRANSIENT,2,0.127,20,387,1,0
1000,credit_card,TRANSIENT,1,0.684,14,1217,1,1
9792,wallet,TRANSIENT,1,0.845,11,1136,0,1
2657,credit_card,SOFT_DECLINE,1,0.511,7,447,1,1
208,debit_card,CUSTOMER_ACTION_REQUIRED,1,0.327,25,767,1,0
973,debit_card,HARD_DECLINE,3,0.622,5,784,1,0
517,credit_card,CUSTOMER_ACTION_REQUIRED,1,0.781,16,1634,0,0
125,net_banking,TRANSIENT,1,0.726,12,1591,0,1
3470,net_banking,TRANSIENT,1,0.548,13,1133,0,0
5920,credit_card,SOFT_DECLINE,1,0.524,14,679,1,0
3185,credit_card,SOFT_DECLINE,1,0.456,23,266,0,0
7267,debit_card,UNKNOWN,1,0.56,2,1903,0,0
3594,upi,TRANSIENT,3,0.926,7,1620,0,0
7651,upi,HARD_DECLINE,2,0.342,3,196,0,0
4221,debit_card,TRANSIENT,1,0.454,5,277,0,0
1873,debit_card,HARD_DECLINE,1,0.869,13,79,0,0
7722,net_banking,TRANSIENT,1,0.402,17,524,0,1
350,net_banking,CUSTOMER_ACTION_REQUIRED,1,0.617,23,122,1,0
203,net_banking,UNKNOWN,1,0.758,22,305,0,0
99,net_banking,HARD_DECLINE,1,0.152,0,1245,0,0
4778,debit_card,SOFT_DECLINE,1,0.773,7,638,0,1
6586,debit_card,SOFT_DECLINE,1,0.928,9,691,0,0
7867,credit_card,UNKNOWN,2,0.431,8,1207,0,0
1249,credit_card,SOFT_DECLINE,1,0.487,7,1843,1,0
4426,upi,SOFT_DECLINE,1,0.096,17,1747,0,1
4122,credit_card,HARD_DECLINE,2,0.538,6,43,0,0
5496,credit_card,SOFT_DECLINE,1,0.126,14,634,0,0
2152,credit_card,CUSTOMER_ACTION_REQUIRED,2,0.493,2,1800,1,0
4365,wallet,HARD_DECLINE,1,0.074,5,1068,1,0
896,upi,HARD_DECLINE,1,0.688,1,917,1,0
1452,credit_card,SOFT_DECLINE,2,0.949,20,46,1,0
1296,credit_card,CUSTOMER_ACTION_REQUIRED,1,0.47,15,1696,1,0
5557,upi,TRANSIENT,2,0.214,13,167,0,0
4593,credit_card,HARD_DECLINE,2,0.613,20,1225,1,0
6449,wallet,SOFT_DECLINE,2,0.668,15,1661,0,0
326,credit_card,SOFT_DECLINE,1,0.963,24,1594,1,0
5087,upi,SOFT_DECLINE,1,0.114,22,845,0,0
4859,net_banking,SOFT_DECLINE,1,0.412,7,89,1,0
6987,upi,CUSTOMER_ACTION_REQUIRED,1,0.318,12,1686,0,0
4602,credit_card,CUSTOMER_ACTION_REQUIRED,2,0.34,1,661,0,0
3223,debit_card,CUSTOMER_ACTION_REQUIRED,3,0.611,4,1268,0,0
1812,debit_card,TRANSIENT,2,0.333,11,1600,0,1
4078,credit_card,TRANSIENT,2,0.396,22,499,1,1
1395,debit_card,SOFT_DECLINE,1,0.249,0,103,0,0
3188,debit_card,SOFT_DECLINE,1,0.024,20,1611,0,1
2289,net_banking,HARD_DECLINE,1,0.401,23,1825,1,1
3201,upi,TRANSIENT,1,0.83,19,1912,1,0
417,credit_card,HARD_DECLINE,2,0.312,10,900,0,1
2672,credit_card,SOFT_DECLINE,1,0.291,2,485,0,0
6637,net_banking,SOFT_DECLINE,1,0.245,0,1047,0,0
136,upi,HARD_DECLINE,1,0.771,14,787,0,1
3969,credit_card,SOFT_DECLINE,2,0.084,17,376,1,0
914,credit_card,HARD_DECLINE,1,0.84,24,506,1,0
5725,upi,SOFT_DECLINE,2,0.037,22,1187,0,0
324,credit_card,SOFT_DECLINE,1,0.959,7,689,0,1
1893,upi,HARD_DECLINE,2,0.921,13,1462,1,1
4197,debit_card,TRANSIENT,2,0.114,13,1044,1,0
4145,upi,SOFT_DECLINE,1,0.399,9,270,0,1
420,upi,UNKNOWN,1,0.65,4,624,0,1
2513,upi,HARD_DECLINE,1,0.251,14,461,0,0
5010,net_banking,HARD_DECLINE,2,0.01,13,397,1,1
5290,debit_card,UNKNOWN,1,0.694,17,969,1,1
1111,credit_card,SOFT_DECLINE,1,0.629,6,592,1,0
5583,upi,SOFT_DECLINE,1,0.767,8,1179,0,0
2754,credit_card,TRANSIENT,1,0.102,25,1099,0,0
988,upi,SOFT_DECLINE,1,0.277,25,1539,0,0
4563,credit_card,SOFT_DECLINE,1,0.803,4,323,1,0
4350,net_banking,SOFT_DECLINE,1,0.512,14,901,0,1
738,credit_card,SOFT_DECLINE,1,0.474,9,1747,0,0
2102,net_banking,CUSTOMER_ACTION_REQUIRED,3,0.945,8,1486,1,0
2995,upi,SOFT_DECLINE,2,0.652,5,81,0,0
4265,debit_card,HARD_DECLINE,1,0.617,6,813,0,0
1942,credit_card,UNKNOWN,1,0.328,11,1905,1,0
4261,credit_card,HARD_DECLINE,1,0.479,1,1454,0,0
6905,upi,TRANSIENT,1,0.608,14,1034,1,0
3755,debit_card,HARD_DECLINE,1,0.37,19,1861,0,0
7111,net_banking,TRANSIENT,1,0.443,22,157,1,0
5356,net_banking,SOFT_DECLINE,2,0.737,10,1744,0,0
6986,credit_card,CUSTOMER_ACTION_REQUIRED,1,0.014,21,855,0,0
2655,credit_card,TRANSIENT,2,0.148,8,201,1,1
99,upi,HARD_DECLINE,2,0.941,9,590,0,1
4916,net_banking,SOFT_DECLINE,1,0.93,2,268,0,1
2647,debit_card,TRANSIENT,1,0.01,20,797,0,0
2640,debit_card,UNKNOWN,2,0.943,6,1560,0,1
3601,upi,TRANSIENT,1,0.226,6,588,0,1
4236,upi,SOFT_DECLINE,1,0.49,18,774,1,0
3335,upi,SOFT_DECLINE,2,0.386,17,1194,1,0
2404,net_banking,SOFT_DECLINE,2,0.207,22,1061,0,0
3428,debit_card,SOFT_DECLINE,1,0.922,16,1378,0,0
4701,debit_card,SOFT_DECLINE,1,0.658,1,690,0,0
1012,credit_card,CUSTOMER_ACTION_REQUIRED,2,0.1,11,657,1,0
4069,debit_card,HARD_DECLINE,2,0.594,22,920,0,0
688,upi,TRANSIENT,1,0.04,7,1592,0,0
1299,debit_card,TRANSIENT,1,0.577,18,88,1,1
2015,upi,SOFT_DECLINE,3,0.568,4,296,0,0
116,credit_card,TRANSIENT,2,0.141,11,969,0,0
4008,credit_card,HARD_DECLINE,1,0.858,13,214,0,1
4891,upi,HARD_DECLINE,1,0.159,3,994,0,0
1011,debit_card,TRANSIENT,1,0.917,12,293,1,0
4956,debit_card,SOFT_DECLINE,1,0.675,13,1252,0,1
1484,upi,SOFT_DECLINE,2,0.768,11,771,1,0
2085,upi,HARD_DECLINE,3,0.646,4,1053,1,0
1506,debit_card,SOFT_DECLINE,1,0.387,15,101,1,0
831,debit_card,TRANSIENT,1,0.106,25,199,1,0
3518,debit_card,HARD_DECLINE,1,0.507,21,961,1,0
1612,debit_card,HARD_DECLINE,1,0.425,23,1328,1,0
3763,debit_card,CUSTOMER_ACTION_REQUIRED,2,0.972,3,1638,1,0
870,net_banking,HARD_DECLINE,1,0.007,22,1238,1,0
435,net_banking,HARD_DECLINE,1,0.868,14,781,1,0
4111,debit_card,SOFT_DECLINE,2,0.767,0,1141,1,1
2801,debit_card,SOFT_DECLINE,1,0.732,17,1542,0,1
3643,credit_card,SOFT_DECLINE,1,0.493,8,737,0,0
5065,net_banking,TRANSIENT,1,0.458,2,698,0,1
496,upi,UNKNOWN,2,0.382,23,191,1,0
4671,debit_card,SOFT_DECLINE,2,0.743,2,1743,0,0
6791,upi,HARD_DECLINE,3,0.616,17,1779,0,0
4269,upi,TRANSIENT,1,0.689,5,596,0,1
8713,credit_card,SOFT_DECLINE,1,0.005,6,68,0,0
3888,debit_card,SOFT_DECLINE,1,0.225,22,694,1,0
435,upi,HARD_DECLINE,1,0.421,19,703,0,0
1029,debit_card,HARD_DECLINE,1,0.854,15,461,0,0
7211,debit_card,SOFT_DECLINE,2,0.571,2,1323,0,0
908,upi,TRANSIENT,2,0.451,14,90,1,0
2606,upi,HARD_DECLINE,1,0.765,24,611,0,0
5312,net_banking,TRANSIENT,2,0.097,6,462,0,0
5515,credit_card,TRANSIENT,2,0.734,12,1156,0,0
1996,upi,SOFT_DECLINE,1,0.885,20,1590,0,0
5152,credit_card,SOFT_DECLINE,1,0.757,9,1721,0,1
7704,debit_card,CUSTOMER_ACTION_REQUIRED,2,0.656,21,1888,1,0
3098,debit_card,SOFT_DECLINE,1,0.029,7,313,0,0
2548,upi,TRANSIENT,2,0.166,20,996,0,0
3291,upi,TRANSIENT,2,0.389,16,1798,1,0
3189,upi,SOFT_DECLINE,2,0.2,4,630,1,1
5819,debit_card,HARD_DECLINE,2,0.444,7,1661,1,0
5659,net_banking,HARD_DECLINE,3,0.245,23,173,1,1
1316,net_banking,HARD_DECLINE,3,0.862,2,1633,0,0
3600,credit_card,HARD_DECLINE,1,0.024,15,1725,0,0
557,net_banking,SOFT_DECLINE,2,0.363,22,1929,0,0
4186,credit_card,SOFT_DECLINE,2,0.754,3,1508,1,0
4548,net_banking,SOFT_DECLINE,2,0.21,3,705,0,1
3064,debit_card,CUSTOMER_ACTION_REQUIRED,1,0.445,25,952,0,0
4938,upi,HARD_DECLINE,1,0.288,7,1832,0,0
4930,net_banking,SOFT_DECLINE,1,0.44,9,346,0,0
5971,credit_card,TRANSIENT,1,0.637,0,1772,1,1
2254,credit_card,HARD_DECLINE,3,0.406,19,1873,1,0
1067,net_banking,TRANSIENT,1,0.374,15,1357,1,1
9034,net_banking,TRANSIENT,1,0.309,7,337,1,0
3541,upi,HARD_DECLINE,1,0.459,20,1886,1,0
6297,upi,CUSTOMER_ACTION_REQUIRED,1,0.033,20,232,0,0
544,wallet,SOFT_DECLINE,2,0.538,2,1664,1,0
2746,credit_card,TRANSIENT,2,0.245,22,1499,0,1
816,upi,HARD_DECLINE,1,0.19,2,1885,0,0
167,credit_card,TRANSIENT,1,0.537,25,134,1,0
1308,credit_card,TRANSIENT,1,0.197,17,1237,1,0
3781,upi,HARD_DECLINE,2,0.777,6,1236,0,0
2068,credit_card,SOFT_DECLINE,2,0.601,15,1322,1,0
1458,wallet,SOFT_DECLINE,1,0.275,17,1060,1,0
7781,net_banking,UNKNOWN,1,0.319,16,993,0,1
7122,upi,HARD_DECLINE,1,0.687,5,426,0,0
5785,debit_card,TRANSIENT,1,0.53,3,1432,1,1
5365,credit_card,HARD_DECLINE,2,0.852,19,1386,1,0
6546,upi,UNKNOWN,2,0.78,8,498,0,0
4380,debit_card,CUSTOMER_ACTION_REQUIRED,1,0.745,14,660,0,0
4780,upi,SOFT_DECLINE,1,0.969,11,1352,0,0
2516,credit_card,HARD_DECLINE,2,0.295,11,78,1,0
1359,upi,SOFT_DECLINE,1,0.215,16,931,0,1
963,debit_card,TRANSIENT,1,0.971,1,1629,0,1
3508,debit_card,CUSTOMER_ACTION_REQUIRED,1,0.607,12,151,1,0
4075,debit_card,SOFT_DECLINE,1,0.75,10,1617,0,0
2439,upi,CUSTOMER_ACTION_REQUIRED,1,0.562,14,532,1,0
4569,upi,HARD_DECLINE,1,0.77,25,1462,0,0
487,net_banking,CUSTOMER_ACTION_REQUIRED,1,0.885,5,687,0,0
2453,upi,SOFT_DECLINE,2,0.023,3,1345,0,0
1159,credit_card,SOFT_DECLINE,1,0.913,16,794,1,1
4319,debit_card,TRANSIENT,1,0.575,20,167,0,0
1216,upi,UNKNOWN,1,0.799,2,1205,0,0
3284,upi,UNKNOWN,1,0.451,23,341,0,1
360,debit_card,HARD_DECLINE,1,0.693,13,1851,1,0
4773,net_banking,TRANSIENT,1,0.259,7,1226,0,1
3211,upi,SOFT_DECLINE,2,0.574,11,1859,0,0
3430,upi,TRANSIENT,1,0.602,1,1626,1,1
4522,net_banking,TRANSIENT,3,0.658,6,650,1,0
3082,net_banking,TRANSIENT,2,0.944,3,1738,0,1
2417,net_banking,CUSTOMER_ACTION_REQUIRED,1,0.049,14,847,1,0
5916,credit_card,HARD_DECLINE,1,0.516,5,1579,1,0
2429,debit_card,HARD_DECLINE,3,0.415,6,215,0,0
2709,credit_card,SOFT_DECLINE,2,0.4,3,756,0,0
3080,net_banking,TRANSIENT,2,0.229,22,202,0,0
6941,credit_card,CUSTOMER_ACTION_REQUIRED,2,0.045,7,393,0,0
2098,upi,TRANSIENT,2,0.061,25,459,0,0
3844,debit_card,SOFT_DECLINE,3,0.965,23,1687,0,1
4285,credit_card,CUSTOMER_ACTION_REQUIRED,1,0.498,9,856,0,0
3465,debit_card,SOFT_DECLINE,2,0.034,4,1901,0,0
804,upi,HARD_DECLINE,1,0.1,11,1867,1,0
475,wallet,TRANSIENT,2,0.44,19,1687,0,1
3573,net_banking,SOFT_DECLINE,1,0.656,11,1989,0,0
3987,upi,SOFT_DECLINE,1,0.13,4,491,0,0
1675,credit_card,HARD_DECLINE,2,0.25,8,408,0,0
461,debit_card,HARD_DECLINE,3,0.267,4,701,0,0
1371,net_banking,HARD_DECLINE,1,0.906,12,1324,1,0
7347,credit_card,TRANSIENT,1,0.323,18,1014,0,1
3946,net_banking,HARD_DECLINE,1,0.452,6,958,0,0
3658,credit_card,TRANSIENT,1,0.893,8,728,0,1
2635,upi,SOFT_DECLINE,2,0.342,16,568,1,0
4259,wallet,HARD_DECLINE,1,0.111,17,1489,1,0
4278,debit_card,SOFT_DECLINE,3,0.083,16,403,0,0
3948,credit_card,UNKNOWN,1,0.733,11,1106,0,1
1504,debit_card,CUSTOMER_ACTION_REQUIRED,2,0.363,7,1450,0,0
4792,credit_card,SOFT_DECLINE,2,0.843,24,1496,1,0
6059,net_banking,HARD_DECLINE,1,0.959,12,637,0,0
1254,debit_card,SOFT_DECLINE,1,0.075,22,1168,0,1
6596,upi,HARD_DECLINE,1,0.755,4,324,0,1
5467,wallet,UNKNOWN,1,0.419,18,426,1,0
2662,net_banking,TRANSIENT,1,0.401,23,1544,0,0
2645,credit_card,TRANSIENT,2,0.521,16,240,0,0
5198,debit_card,TRANSIENT,2,0.541,19,960,1,0
7326,upi,HARD_DECLINE,1,0.838,8,261,0,0
1313,upi,TRANSIENT,2,0.487,9,490,0,1
4229,wallet,HARD_DECLINE,2,0.495,22,915,0,0
1607,credit_card,CUSTOMER_ACTION_REQUIRED,2,0.276,8,1341,0,0
4000,wallet,CUSTOMER_ACTION_REQUIRED,2,0.243,15,483,0,0
3575,upi,TRANSIENT,2,0.561,18,799,0,0
6718,credit_card,HARD_DECLINE,2,0.099,3,270,0,0
5990,upi,HARD_DECLINE,2,0.815,22,1554,1,0
3450,debit_card,SOFT_DECLINE,1,0.805,23,1622,0,0
2478,credit_card,TRANSIENT,2,0.329,9,1915,0,1
610,net_banking,SOFT_DECLINE,1,0.966,8,943,0,1
5941,upi,HARD_DECLINE,2,0.161,17,1608,0,0
3297,upi,HARD_DECLINE,1,0.089,11,1292,0,0
1492,debit_card,UNKNOWN,1,0.914,2,1339,0,0
4457,upi,HARD_DECLINE,1,0.337,14,1864,0,0
7700,credit_card,TRANSIENT,1,0.311,16,1464,0,1
